model_id,policy,group,n_nonhate_mentions,group_fpr,background_fpr,fpr_gap,mean_score
tfidf_lgbm_broad_s42,broad,race_ethnicity,96,0.3021,0.141,0.161,0.4405
tfidf_lgbm_broad_s42,broad,religion,82,0.4512,0.141,0.3102,0.5435
tfidf_lgbm_broad_s42,broad,nationality_immigration,24,0.2917,0.141,0.1506,0.4891
tfidf_lgbm_broad_s42,broad,disability,10,0.2,0.141,0.059,0.3989
tfidf_lgbm_nostop_broad_s42,broad,gender,182,0.4615,0.1792,0.2823,0.4957
tfidf_lgbm_nostop_broad_s42,broad,sexual_orientation,66,0.7273,0.1792,0.5481,0.6118
tfidf_lgbm_nostop_broad_s42,broad,race_ethnicity,96,0.375,0.1792,0.1958,0.445
tfidf_lgbm_nostop_broad_s42,broad,religion,82,0.5488,0.1792,0.3696,0.5349
tfidf_lgbm_nostop_broad_s42,broad,nationality_immigration,24,0.4583,0.1792,0.2791,0.481
tfidf_lgbm_nostop_broad_s42,broad,disability,10,0.2,0.1792,0.0208,0.4008
tfidf_logreg_broad_s42,broad,gender,182,0.4121,0.1687,0.2434,0.4807
tfidf_logreg_broad_s42,broad,sexual_orientation,66,0.5909,0.1687,0.4223,0.5839
tfidf_logreg_broad_s42,broad,race_ethnicity,96,0.3021,0.1687,0.1334,0.4343
tfidf_logreg_broad_s42,broad,religion,82,0.5122,0.1687,0.3435,0.5322
tfidf_logreg_broad_s42,broad,nationality_immigration,24,0.5,0.1687,0.3313,0.5113
tfidf_logreg_broad_s42,broad,disability,10,0.1,0.1687,-0.0687,0.3487
tfidf_logreg_nostop_broad_s42,broad,gender,182,0.3626,0.1584,0.2043,0.4764
tfidf_logreg_nostop_broad_s42,broad,sexual_orientation,66,0.5758,0.1584,0.4174,0.5879
tfidf_logreg_nostop_broad_s42,broad,race_ethnicity,96,0.3021,0.1584,0.1437,0.427
tfidf_logreg_nostop_broad_s42,broad,religion,82,0.4756,0.1584,0.3172,0.5425
tfidf_logreg_nostop_broad_s42,broad,nationality_immigration,24,0.4583,0.1584,0.3,0.4989
tfidf_logreg_nostop_broad_s42,broad,disability,10,0.2,0.1584,0.0416,0.3601
tfidf_svm_broad_s42,broad,gender,182,0.3846,0.1876,0.197,0.3682
tfidf_svm_broad_s42,broad,sexual_orientation,66,0.5606,0.1876,0.373,0.3918
tfidf_svm_broad_s42,broad,race_ethnicity,96,0.2708,0.1876,0.0832,0.3515
tfidf_svm_broad_s42,broad,religion,82,0.4634,0.1876,0.2758,0.3804
tfidf_svm_broad_s42,broad,nationality_immigration,24,0.625,0.1876,0.4374,0.3916
tfidf_svm_broad_s42,broad,disability,10,0.2,0.1876,0.0124,0.328
tfidf_svm_nostop_broad_s42,broad,gender,182,0.4231,0.2149,0.2081,0.3654
tfidf_svm_nostop_broad_s42,broad,sexual_orientation,66,0.5758,0.2149,0.3608,0.3898
tfidf_svm_nostop_broad_s42,broad,race_ethnicity,96,0.3021,0.2149,0.0871,0.35
tfidf_svm_nostop_broad_s42,broad,religion,82,0.5976,0.2149,0.3826,0.3879
tfidf_svm_nostop_broad_s42,broad,nationality_immigration,24,0.6667,0.2149,0.4517,0.3858
tfidf_svm_nostop_broad_s42,broad,disability,10,0.2,0.2149,-0.0149,0.3299
twitter_xlmr_broad_s42,broad,gender,182,0.2582,0.1297,0.1286,0.305
twitter_xlmr_broad_s42,broad,sexual_orientation,66,0.303,0.1297,0.1734,0.3678
twitter_xlmr_broad_s42,broad,race_ethnicity,96,0.1875,0.1297,0.0578,0.2327
twitter_xlmr_broad_s42,broad,religion,82,0.2439,0.1297,0.1142,0.2847
twitter_xlmr_broad_s42,broad,nationality_immigration,24,0.5,0.1297,0.3703,0.5387
twitter_xlmr_broad_s42,broad,disability,10,0.5,0.1297,0.3703,0.4949
xlmr_multilingual_broad_s42,broad,gender,182,0.2747,0.1186,0.1562,0.368
xlmr_multilingual_broad_s42,broad,sexual_orientation,66,0.4091,0.1186,0.2905,0.4693
xlmr_multilingual_broad_s42,broad,race_ethnicity,96,0.2083,0.1186,0.0898,0.304
xlmr_multilingual_broad_s42,broad,religion,82,0.2439,0.1186,0.1253,0.2703
xlmr_multilingual_broad_s42,broad,nationality_immigration,24,0.5,0.1186,0.3814,0.5103
xlmr_multilingual_broad_s42,broad,disability,10,0.2,0.1186,0.0814,0.3304
