model_id,policy,group,n_nonhate_mentions,group_fpr,background_fpr,fpr_gap,mean_score
sbert_logreg_strict_s42,strict,disability,13,0.2308,0.131,0.0998,0.5299
tfidf_lgbm_nostop_strict_s42,strict,gender,307,0.1889,0.0688,0.1201,0.3503
tfidf_lgbm_nostop_strict_s42,strict,sexual_orientation,117,0.1624,0.0688,0.0936,0.4086
tfidf_lgbm_nostop_strict_s42,strict,race_ethnicity,111,0.1081,0.0688,0.0393,0.3396
tfidf_lgbm_nostop_strict_s42,strict,religion,145,0.1931,0.0688,0.1243,0.417
tfidf_lgbm_nostop_strict_s42,strict,nationality_immigration,31,0.4194,0.0688,0.3506,0.5681
tfidf_lgbm_nostop_strict_s42,strict,disability,13,0.0769,0.0688,0.0081,0.4113
tfidf_lgbm_strict_s42,strict,gender,307,0.1889,0.0706,0.1183,0.3529
tfidf_lgbm_strict_s42,strict,sexual_orientation,117,0.1538,0.0706,0.0832,0.4026
tfidf_lgbm_strict_s42,strict,race_ethnicity,111,0.1261,0.0706,0.0555,0.3463
tfidf_lgbm_strict_s42,strict,religion,145,0.1862,0.0706,0.1156,0.4215
tfidf_lgbm_strict_s42,strict,nationality_immigration,31,0.3548,0.0706,0.2842,0.5653
tfidf_lgbm_strict_s42,strict,disability,13,0.2308,0.0706,0.1602,0.4329
tfidf_logreg_nostop_strict_s42,strict,gender,307,0.1759,0.0718,0.1041,0.3436
tfidf_logreg_nostop_strict_s42,strict,sexual_orientation,117,0.1453,0.0718,0.0735,0.377
tfidf_logreg_nostop_strict_s42,strict,race_ethnicity,111,0.1532,0.0718,0.0814,0.3329
tfidf_logreg_nostop_strict_s42,strict,religion,145,0.1655,0.0718,0.0937,0.3885
tfidf_logreg_nostop_strict_s42,strict,nationality_immigration,31,0.3871,0.0718,0.3153,0.5553
tfidf_logreg_nostop_strict_s42,strict,disability,13,0.1538,0.0718,0.082,0.3497
tfidf_logreg_strict_s42,strict,gender,307,0.1498,0.0588,0.0911,0.339
tfidf_logreg_strict_s42,strict,sexual_orientation,117,0.1282,0.0588,0.0694,0.3719
tfidf_logreg_strict_s42,strict,race_ethnicity,111,0.1081,0.0588,0.0493,0.3223
tfidf_logreg_strict_s42,strict,religion,145,0.1103,0.0588,0.0516,0.3852
tfidf_logreg_strict_s42,strict,nationality_immigration,31,0.3226,0.0588,0.2638,0.5628
tfidf_logreg_strict_s42,strict,disability,13,0.0,0.0588,-0.0588,0.3457
tfidf_svm_nostop_strict_s42,strict,gender,307,0.1564,0.0676,0.0888,0.1218
tfidf_svm_nostop_strict_s42,strict,sexual_orientation,117,0.0598,0.0676,-0.0078,0.1144
tfidf_svm_nostop_strict_s42,strict,race_ethnicity,111,0.1622,0.0676,0.0946,0.1201
tfidf_svm_nostop_strict_s42,strict,religion,145,0.0621,0.0676,-0.0055,0.1142
tfidf_svm_nostop_strict_s42,strict,nationality_immigration,31,0.4194,0.0676,0.3518,0.1767
tfidf_svm_nostop_strict_s42,strict,disability,13,0.0769,0.0676,0.0093,0.1157
tfidf_svm_strict_s42,strict,gender,307,0.1694,0.0756,0.0938,0.1207
tfidf_svm_strict_s42,strict,sexual_orientation,117,0.094,0.0756,0.0184,0.1165
tfidf_svm_strict_s42,strict,race_ethnicity,111,0.1441,0.0756,0.0685,0.1173
tfidf_svm_strict_s42,strict,religion,145,0.0759,0.0756,0.0003,0.1143
tfidf_svm_strict_s42,strict,nationality_immigration,31,0.4516,0.0756,0.376,0.1817
tfidf_svm_strict_s42,strict,disability,13,0.0,0.0756,-0.0756,0.1139
twitter_xlmr_strict_s42,strict,gender,307,0.0977,0.0489,0.0488,0.1071
twitter_xlmr_strict_s42,strict,sexual_orientation,117,0.1282,0.0489,0.0793,0.1392
twitter_xlmr_strict_s42,strict,race_ethnicity,111,0.0541,0.0489,0.0051,0.0602
twitter_xlmr_strict_s42,strict,religion,145,0.0828,0.0489,0.0338,0.1088
twitter_xlmr_strict_s42,strict,nationality_immigration,31,0.2258,0.0489,0.1769,0.232
twitter_xlmr_strict_s42,strict,disability,13,0.0,0.0489,-0.0489,0.0359
xlmr_multilingual_strict_s42,strict,gender,307,0.1107,0.0527,0.058,0.1535
xlmr_multilingual_strict_s42,strict,sexual_orientation,117,0.1368,0.0527,0.084,0.2184
xlmr_multilingual_strict_s42,strict,race_ethnicity,111,0.0631,0.0527,0.0103,0.115
xlmr_multilingual_strict_s42,strict,religion,145,0.1448,0.0527,0.0921,0.2133
xlmr_multilingual_strict_s42,strict,nationality_immigration,31,0.3226,0.0527,0.2698,0.3764
xlmr_multilingual_strict_s42,strict,disability,13,0.0,0.0527,-0.0527,0.2103
