trial,val_macro_f1,profile,strip_accents,word_ngram,word_min_df,word_max_features,char_ngram,char_min_df,char_max_features,sublinear_tf,binary,C,penalty,class_weight
29,0.6962454138350644,heavy,unicode,"[1, 1]",2,30000,"[3, 5]",4,200000,True,True,0.9915009041906225,l1,
21,0.6962454138350644,heavy,unicode,"[1, 2]",3,50000,"[3, 6]",4,200000,True,True,2.260975769672609,l1,balanced
37,0.6950960768600668,light,,"[1, 3]",5,50000,"[3, 5]",5,100000,True,False,1.8895094408814603,l2,balanced
25,0.6946607518813525,heavy,unicode,"[1, 2]",4,50000,"[3, 5]",5,100000,True,True,0.7748384499173276,l1,
27,0.6945146184723013,heavy,unicode,"[1, 3]",3,50000,"[3, 6]",5,200000,False,False,3.3254742262372003,l1,balanced
66,0.6942905182784553,heavy,,"[1, 2]",5,200000,"[3, 6]",5,50000,False,True,0.6508032964786498,l1,
73,0.693484959696844,heavy,,"[1, 2]",5,30000,"[3, 6]",5,100000,True,True,0.6606895404175832,l1,
14,0.6926907345357042,light,,"[1, 2]",4,50000,"[3, 5]",4,200000,False,False,2.40980024493462,l2,balanced
28,0.6926907345357042,heavy,,"[1, 2]",3,30000,"[3, 5]",4,50000,True,True,2.556862605177939,l1,balanced
75,0.6919184254281566,heavy,,"[1, 2]",4,100000,"[3, 5]",5,30000,True,False,0.33073662049212915,l1,balanced
74,0.691545045267897,light,,"[1, 2]",5,100000,"[3, 6]",5,50000,True,True,0.5960241466067582,l1,
6,0.6903494603639513,light,unicode,"[1, 1]",4,50000,"[3, 6]",2,200000,False,False,0.16675132417849786,l2,balanced
54,0.6892082653078052,heavy,,"[1, 1]",1,50000,"[3, 5]",4,50000,True,False,2.8183879919644124,l1,balanced
70,0.688521002304167,heavy,,"[1, 3]",2,50000,"[2, 5]",5,50000,True,True,4.188475677625954,l1,balanced
35,0.6884568347026303,heavy,unicode,"[1, 2]",2,50000,"[3, 5]",4,100000,False,True,5.099929921919984,l1,balanced
63,0.6864273613795369,heavy,,"[1, 1]",5,200000,"[3, 6]",5,50000,True,False,4.418819606655546,l1,
42,0.6854293738807294,heavy,,"[1, 1]",3,50000,"[3, 5]",5,30000,True,False,4.543748458885292,l1,
24,0.6853136320409857,heavy,unicode,"[1, 2]",4,200000,"[3, 5]",5,200000,False,True,3.6502815636278507,l1,balanced
26,0.6846278053472817,heavy,unicode,"[1, 1]",2,50000,"[3, 5]",4,100000,True,False,5.669033486987311,l2,balanced
52,0.6835173236263222,heavy,,"[1, 2]",4,50000,"[3, 5]",5,50000,True,False,4.147927085285513,l1,
13,0.6814015809726721,light,,"[1, 2]",4,50000,"[3, 5]",4,30000,True,False,0.05902659022129439,l2,balanced
8,0.6810154842873999,heavy,,"[1, 1]",4,50000,"[3, 5]",5,50000,False,True,7.35066025244948,l2,balanced
69,0.6783032921607106,heavy,,"[1, 2]",5,200000,"[3, 6]",5,50000,True,True,7.009399245806673,l1,
53,0.6772066648446696,heavy,,"[1, 2]",1,30000,"[3, 5]",5,30000,True,False,9.856895789733741,l1,balanced
15,0.6767716047891672,light,,"[1, 2]",4,200000,"[3, 5]",3,30000,True,False,3.914286972660222,l1,balanced
44,0.676341267163288,light,,"[1, 2]",2,30000,"[3, 5]",5,30000,True,False,0.3911203877404968,l1,
50,0.6754758694819065,heavy,unicode,"[1, 2]",4,100000,"[3, 5]",4,30000,True,False,12.650259773975872,l1,
4,0.6720142787563801,heavy,,"[1, 1]",3,200000,"[2, 5]",3,30000,False,True,20.575565247805446,l2,balanced
22,0.6709293194117234,heavy,unicode,"[1, 2]",3,50000,"[3, 5]",4,200000,True,False,0.1678201141025021,l1,balanced
20,0.6707101855040399,light,unicode,"[1, 2]",1,50000,"[3, 5]",4,200000,False,False,0.20388260398719663,l1,balanced
79,0.670283483393617,heavy,,"[1, 2]",4,50000,"[3, 5]",4,30000,True,False,8.881187509103,l1,balanced
48,0.6694180857122354,heavy,,"[1, 2]",2,200000,"[3, 5]",5,50000,True,False,0.18096548535435228,l1,balanced
9,0.6688365592480174,heavy,,"[1, 2]",5,30000,"[2, 4]",5,30000,True,False,8.342108951128543,l1,balanced
2,0.6673983190136161,light,unicode,"[1, 1]",1,30000,"[3, 5]",2,200000,False,True,29.146922714973684,l1,
5,0.664225699623946,heavy,,"[1, 3]",5,50000,"[2, 5]",3,100000,False,True,0.06451056512283576,l2,
1,0.6619458324400689,heavy,,"[1, 1]",5,200000,"[2, 4]",2,200000,False,False,11.336993261890191,l1,balanced
49,0.6581679158542748,heavy,,"[1, 2]",4,50000,"[3, 5]",5,30000,False,False,0.2378808755748056,l1,
45,0.6564371204915117,heavy,,"[1, 2]",3,50000,"[3, 5]",4,30000,True,True,0.21685691261249435,l1,
61,0.6440305194126992,heavy,,"[1, 3]",5,200000,"[3, 6]",4,200000,True,False,0.18125369980747502,l1,
72,0.6432380166054128,heavy,,"[1, 1]",5,30000,"[3, 6]",4,50000,True,True,0.1489386673249742,l1,
77,0.6425015078615701,heavy,,"[1, 2]",4,200000,"[3, 6]",5,50000,True,True,0.08946668764717189,l1,balanced
51,0.6258180388414822,heavy,,"[1, 3]",1,50000,"[3, 5]",5,30000,True,False,0.1477890030670992,l1,
7,0.5766789653631839,light,,"[1, 3]",3,200000,"[2, 4]",4,30000,False,True,0.053279624966162877,l1,
